happiness_score,gdp,life_expectancy,freedom,generosity,corruption
3.819,0.46038,0.05069,0.66246,0.40359,0.07247
3.781,0.2852,0.05061,0.32878,0.34377,0.05747
3.681,0.20824,0.03633,0.19184,0.21333,0.08124
3.678,0.0785,0.06112,0.48879,0.23835,0.08289
3.667,0.34193,0.0383,0.23501,0.18386,0.05269
3.656,0.17417,0.0359,0.37725,0.28657,0.12139
3.655,0.46534,0.05141,0.46866,0.20165,0.17922
3.587,0.25812,0.04324,0.39493,0.21747,0.12832
3.575,0.31982,0.03084,0.23414,0.3651,0.09719
3.465,0.22208,0.03464,0.59201,0.22628,0.55191
3.34,0.28665,0.03656,0.4845,0.1826,0.0801
3.006,0.6632,0.05015,0.15684,0.47179,0.18906
2.905,0.0153,0.08658,0.1185,0.19727,0.10062
2.839,0.20868,0.06727,0.36453,0.16681,0.10731
